Packet,Consensus 2025-26 T1 PS Pack 9.pdf
Team A,strangers on a chrain
Team B,Sarlacc
Final Score,strangers on a chrain 410 - 385 Sarlacc
Winner,strangers on a chrain
Exported,2026-05-09T22:55:34.849Z

Team,Score
strangers on a chrain,410
Sarlacc,385

Player,Team,Points
Terry Tang,strangers on a chrain,80
Richard Niu,strangers on a chrain,80
Anuttam Ramji,strangers on a chrain,250
Benjamin McAvoy-Bickford,Sarlacc,250
Michał Gerasimiuk,Sarlacc,135
